ISO_Code;UN_Reg;UN_SubReg;country_name_not_used;Ctry_Land;IC_T;IC_T_Src;IC_T_Cat;IC_F;IC_F_Src;IC_F_Cat;IC_NF;IC_NF_Src;IC_NF_Cat;IC_Notes;TIME_PERIOD;ATTR_ENDPOINT
SGP;Asia;South-Eastern Asia;Singapore;66089.78;No data;;No data;;;No data;No data;;No data;;2017;
SMX;Americas;Caribbean;Sint Maarten (Netherlands);3439.1820000000002;No data;;No data;;;No data;No data;;No data;;2017;
SVK;Europe;Eastern Europe;Slovakia;4872215.1;No data;;No data;;;No data;No data;;No data;According to the Eurostat Farm Structure Surveys, common lands does not exist as part of the utilised agricultural area in Slovakia. However, the provided information is not enough to declare that common lands do not exist at all in the country.<br>Sources : Eurostat, 2013. Farm structure - Slovakia National Methodology report. Available at : http://ec.europa.eu/eurostat/cache/metadata/EN/ef_esqrs_sk.htm;2017;
SVN;Europe;Southern Europe;Slovenia;1990681.0;No data;;No data;0.4;(Eurostat, 2013);0.1-5%;No data;;No data;The Eurostats study on common lands in Europe reveals that in 2013, 8 733 hectares were formally recognized as common land in Slovenia. The area of common land consists only of pastures (rough grazing). Thus, these lands cover about 0.44% of the country total land area.<br>As it is delicate to provide data on common land on each agricultural holding when conducting surveys, only the data at national level were published. Thus, the total area of these lands may be higher.<br>Sources : Eurostat, 2013. Farm structure - Slovenia National Methodology report. Available at : http://ec.europa.eu/eurostat/cache/metadata/EN/ef_esqrs_si.htm;2017;
SLB;Oceania;Melanesia;Solomon Islands;2839829.6;0.87;(Fabrice Dubertret, based on AusAID, 2008);80.1-100%;87.0;(Australian Agency for International Development, 2008);80.1-100%;0;(Fabrice Dubertret, based on AusAID, 2008);0;Customary tenure is formally recognized and protected in Solomon Islands. Customary lands cover 87% of the country land area, the rest being public land (8%) and freehold land (5%). <br>When Solomon Islands was acquired by Britain in 1893, Solomon Islanders were regarded as owning the land except land that was considered to be unoccupied or waste land. Between 1896 and 1914, Solomon Islanders were allowed to sell their land to foreigners, which became freehold lands. Then, sales of customary land were restricted to the benefit of the protectorate Government, and some alienated land was returned to the customary owners.<br>Source : Australian Agency for International Development, 2008, Making Land Work. Canberra, A.C.T.: AusAID. Available at : http://www2.kobe-u.ac.jp/~alexroni/TR2014%20readings/2014_7/MakingLandWork_VolumeOne_Bookmarked.pdf<br><br>As customary tenure is extensively protected in the constitution or by law, we may consider that all customary lands are formally recognized in the country.;2017;
SOM;Africa;Eastern Africa;Somalia;63526776.88;97.7%;(Liz Alden Wily, 2015);80.1-100%;0;(Liz Alden Wily, 2015);0;97.7%;(Liz Alden Wily, 2015);80.1-100%;Clan tenure was the norm until the Land Registration Act, 1975, which made all collective land the property of the state and began issuing private land titles in urban and riverine areas to wealthy elites or clan leaders.<br>The area of titled rural land could be up to 10% , although rule of land law does not significantly prevail. Thus far, no provision in policies for collective homeland territories ('deegan') and overlapping rights and claims has been complicated by displacement, multiple groups securing de facto or legal rights at different times. <br>Key source: Lee Cassanelli, 2015, Hosts and Guests A historical interpretation of land conflicts in southern and central Somalia, Rift Valley Institute Research Paper 2.;2017;
ZAF;Africa;Southern Africa;South Africa;121730677.1;0.13;(Liz Alden Wily, 2015);5.1-20%;13.0;(Liz Alden Wily, 2015);5.1-20%;0;(Liz Alden Wily, 2015);0;The official figure for lands under customary tenure is used here, referring to the lands of the former homelands now known as communal lands, and which in 2015 remain vested in the state in trust for occupants (due to the striking down of the Communal Land Reform Act, 2004 as unconstitutional, partly due to its bias towards ownership being capable of being vested in chiefs).<br>Note that in the case of the customary land of KwaZulu Natal the land is not vested in the name of the Minister of Rural Development and Land Reform but vested in and managed by the Ingonyama Trust for the Zulu king on behalf of residents, making the Trust the largest property owner in the province).<br>Many other lands claimed as community lands are not included here, most presently under registered private entitlement to individuals as large farms, the area of which falls within the official figure of private property (79% of total country area). Minor additional areas under ownership of Communal Property Associations are also excluded here.<br>Ownership within the former homeland areas is secure, given their legal status as unable to be alienated without permission of owners (Interim Protection of Informal Land Rights Act, 1996) - see legal analysis elsewhere).<br>Most recent source for official figures: Wendy Ovens, Jean du Plessis, Mark Napier, and Felicity Kitchin, August 2013. Issues and Options for Improved Land sector Governance in South Africa. Application of the Land Governance Assessment Framework. Urban LandMark.;2017;
SGS;Antartica;Antartica;South Georgia and the South Sandwich Islands (United Kingdom);407613.652;No data;;No data;;;No data;No data;;No data;;2017;
KOR;Asia;Eastern Asia;South Korea;9902791.597;No data;;No data;8.3;(Eurostat, OECD, 2015);5.1-20%;No data;;No data;"The Eurostat-OECD compilation guide on land estimation (2015) describes land ownership in South Korea, of which 8.3% of the country land area is under communal tenure for clans, religious bodies, or village community ownership. The balance is privately owned (59.4%), government ownership (31.9%), or under other types of ownership (0.4%).<br>Sources: Eurostat and OECD, 2015. ""Eurostat-OECD compilation guide on land estimation"". Eurostat manuals and guidelines, URL : http://ec.europa.eu/eurostat/documents/3859598/6893405/KS-GQ-14-012-EN-N.pdf<br>";2017;
SSD;Africa;Eastern Africa;South Sudan;63308642.01;95.4%;(Liz Alden Wily, 2015);80.1-100%;95.4;(Liz Alden Wily, 2015);80.1-100%;0;(Liz Alden Wily, 2015);0;In law (2009) customary rights have same force and effect as non-customary rights, registered or not. This figure refers to the estimated customary/community land area. Private titling in the rural domain is reputed to be minimal, but no official figures available. <br>Key source: David Deng, Nov. 2014, South Sudan Country Report, Findings of the Land Governance Assessment Framework (LGAF), Juba, South Sudan.<br>Refer elsewhere on site for review of laws (Liz Alden Wily).;2017;
ESP;Europe;Southern Europe;Spain;50357653.548;No data;;No data;1.3900568248931071;"(Xosé Tubio, 2015; Joám Evans Pin , 2016)";0.1-5%;No data;;No data;"In Spain, Montes Vecinales en Mano Comun (Forests in Common Hand) are private forest of Germanic nature, regardless of their origin, their productive potential, its current use and its agricultural  vocation,  belonging  to  neighbourhood communities  as  social  groups  rather  than  as administrative  entities,  and  which  has  been customarily communal exploited by the neighbours as members  of  a  community  without  allocation  of quotas"". They are indivisible, inalienable, imprescriptible and nonsiezable goods, held in collective private ownership.<br><br>In Galiza (North-West of Spain), there are 2800 registered and recognized Forests in Common Hand, covering 700 000 ha (24,1% of the Galiza territory, and 1.4% of Spain land area), and the ORGACCMM, an association of  FCH communities, estimates that there are another 400.000 ha of common land to be recognized (13,.8% of the Galiza territory, and 0.8% of Spain land area).<br><br>Although concentrated in Galiza, Forests in Common Hand may exist in other parts of the country, as well as comunales (Commons) which share the same origins as Montes Vecinales but are state-owned.<br>Sources :<br>Tubio, Xosé. 2015. Common Land and Common Pasture in Galiza (NW of Span) and the North of Portugal. Available at : http://www.efncp.org/download/common-ground2015/Commons3Tubio.pdf<br>Joám Evans Pin (Iniciativa Comunales), personal communication on 2016.12.14";2017;
SP-;Asia;South-Eastern Asia;Spratly islands (disputed islands);188.221;No data;;No data;;;No data;No data;;No data;;2017;
LKA;Asia;Southern Asia;Sri Lanka;6487809.08;No data;;No data;;;No data;No data;;No data;No data could be found in the literature regarding the area of indigenous and community lands in the country.<br>Vadda are the Indigenous Peoples of Sri Lanka. While old colonial census reported populations between 1,200 and 4,500 persons, there was no separation in census surveys in the last three decades..<br>Source : International Work Group for Indigenous Affairs and Mikkelsen, C., 2012. The Indigenous World, 2015. Copenhagen, Denmark: International Work Group for Indigenous Affairs. Available at : http://www.iwgia.org/iwgia_files_publications_files/0573_THE_INDIGENOUS_ORLD-2012_eb.pdf;2017;
SDN;Africa;Northern Africa;Sudan;187558355.99;87.5%;(Liz Alden Wily, 2015);80.1-100%;0;(Liz Alden Wily, 2015);0;87.5%;(Liz Alden Wily, 2015);80.1-100%;Minimal protection as courts and officials since 1990 cannot hear land rights complaints concerning state land (and all land is vested in Government). [Refer legal review elsewhere]. <br>Law does provide for registration of usufructs for cultivated lands indicating some security but virtually no registration outside urban and peri-urban areas.;2017;
SUR;Americas;South America;Suriname;14500448.0;No data;;No data;0;(RRI, 2015);0;No data;;No data;Suriname does not have a statutory or regulatory framework that recognizes local communities' rights to own or control land either. However, Indigenous Peoples live in Suriname, numbering approximately 20,344 people (3.8% of the total population). <br>Also, some Maroon tribes collectively use lands and resources in Suriname and have territorial rights, as attest different rulings of the InterAmerican Court.<br><br>Sources :<br>Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf<br>International Work Group for Indigenous Affairs and Mikkelsen, C., 2015. The Indigenous World, 2015. Copenhagen, Denmark: International Work Group for Indigenous Affairs. Available at : http://www.iwgia.org/iwgia_files_publications_files/0716_THE_INDIGENOUS_ORLD_2015_eb.pdf<br>Inter-American Court of Human Rights, Judgment of June 15, 2005. Case of the Moiwana Community  v. Suriname. Available at : http://www.corteidh.or.cr/docs/casos/articulos/seriec_124_ing1.doc<br>Inter-American Court of Human Rights, Judgment of November 28, 2007. Case of the Saramaka People  v. Suriname. Availabale at : http://www.corteidh.or.cr/docs/casos/articulos/seriec_172_ing.pdf;2017;
SJM;Europe;Northern Europe;Svalbard and Jan Mayen (Norway);6093250.6;No data;;No data;;;No data;No data;;No data;;2017;
SWZ;Africa;Southern Africa;Swaziland;1726264.384;0.54;(Liz Alden Wily, 2015);40.1-60%;54.0;(Liz Alden Wily, 2015);40.1-60%;0;(Liz Alden Wily, 2015);0;"The official figure of community lands in the form of Swazi National Lands vested in the King for the use of his subjects is used here as 54% of the total country area. Although not used to calculate community land area, the WPDA figure for TPA is reduced by 1% as known to fall within community Swazi National Lands (SNL) defined here as community lands.<br>Note that not all the Swazi National Land Area is under community jurisdiction; some areas are held by agencies. The official figure for SNL as of 2012 was 54% of the country area, another 36.8% of country area held under private  land rights under Roman Dutch law.<br>Source of figures include IFAD, 2012, Land and Natural Resources in Swaziland, Rome www.ifad.org/english/land/perspectives/gltn/Swaziland_FactSheet.pdf<br>Refer elsewhere for review of laws against indicators (Liz Alden Wily).";2017;
SWE;Europe;Northern Europe;Sweden;41317410.0;No data;;No data;2.3;(RRI, 2015);0.1-5%;No data;;No data;0.94 Mha are designated for Indigenous peoples in Sweden (representing 2.31% of the country landmass), as Indigenous Co-Management of Laponia Tjuottjudus (Laponia World Heritage Site).<br>Source : Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf<br><br>The Sami are the Indigenous Peoples of Europe, living in the Northern part of Norway, Sweden, Finland and Russia.<br>Source : International Work Group for Indigenous Affairs and Mikkelsen, C., 2015. The Indigenous World, 2015. Copenhagen, Denmark: International Work Group for Indigenous Affairs. Available at : http://www.iwgia.org/iwgia_files_publications_files/0716_THE_INDIGENOUS_ORLD_2015_eb.pdf;2017;
CHE;Europe;Western Europe;Switzerland;3993122.0;No data;;No data;;;No data;No data;;No data;;2017;
SYR;Asia;Western Asia;Syria;18497875.8;No data;;No data;;;No data;No data;;No data;;2017;
TWN;Asia;Eastern Asia;Taiwan;3614046.6;50.8%;(Sutej Hugu, 2016);40.1-60%;7.3;(Sutej Hugu, 2016);5.1-20%;43.5%;(Sutej Hugu, 2016);40.1-60%;According to the Dept. of Land Adm., Taiwan total area (including tidal flat) is 3,600,948.99 hectares. The administrative division of Taiwan, acknowledge 55 districts, townships and cities to be aboriginal area, totalling 1,828,217 hectares.<br>Nevertheless, the government's formal recognition of Indigenous Peoples' land rights is limited to 262,700 hectares of Indigenous Peoples' Reserved Land (IPRL), set aside for their use within the aboriginal area.<br>When submitting the draft Land and Marine Territories of Indigenous Peoples Act to the Legislation House in June 10th 2015, the Council of Indigenous Peoples claimed the entire 1.8 Mha of aboriginal area to be the Traditional Territory and asked for formal recognition of indigenous land rights over this area. Endorsement of the Act is still pending, and, so far, only 15% of indigenous proclaimed territory is formally recognized as IPRL.<br>There are no other communities than Indigenous Peoples holding lands collectively in Taiwan.<br>Source : Sutej Hugu, Regional Coordinator for East Asia, ICCA Consortium. Personal Communication on 2016/05/03.;2017;
TJK;Asia;Central Asia;Tajikistan;14064211.0;No data;;No data;;(RRI, 2015);No data;No data;;No data;Some lands are allocated to local government and available for lease by Pasture User Unions in the country. Although 177 Pasture User Unions have been registered under the 2013 Pasture Law, no data is available  for the area they cover. <br>Source : Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf;2017;
TZA;Africa;Eastern Africa;Tanzania;88557917.0;0.7;(Liz Alden Wily, 2015);60.1-80%;70.0;(Liz Alden Wily, 2015);60.1-80%;0;(Liz Alden Wily, 2015);0;"Mainland only : Zanzibar has its own land and natural resource laws.<br>The official figure for community lands ('village lands') as 70% of the country area is used here.<br>This area includes Wildlife Management Areas and Village and Community Forest Reserves. Note that 3.4% of the TPA area has been extracted as known to fall within village lands as mainly community forest reserves or WMA  but which total still remains greater than the official figure for reserved lands of 28% of the country area.<br>The 70% country area of village lands also includes an estimate 6% of village lands believed to have been alienated since 2000 from village lands to general land status  for reallocation to private persons and investors. The available area of village lands is therefore more likely to be 64% of country area or 56,417,893 ha.<br>Village lands are legally owned by communities in common or by community members in respect of family or individual parcels, dependent upon the rules adopted by the community (as per Land Act, 1999 and Village Land Act, 1999). Should community rules deem these lands as customary property, the law explicitly this, with or without issue of Certificates of Customary Rights of Occupancy via registration in village land registries.<br>Customary rights may also apply in reserved areas. Use rather than occupation rights are acknowledged in the 5,392,095 ha million ha of national forest reserves under state-community joint management.<br>The combined area of lands lawfully owned by communities and other lands formally designated for their use is therefore 67,099,166 ha.<br>Official figures retrieved from : K. Deininger, H. Selod & A. Burns,  2012, The Land Governance Assessment Framework The World Bank; Ministry of Natural Resources and Tourism, 2012,  Participatory Forest Management in Tanzania. Facts & Figures.<br>Refer elsewhere for legal review against indicators (Liz Alden Wily).";2017;
THA;Asia;South-Eastern Asia;Thailand;51056626.83;No data;;No data;0.9;(RRI, 2015);0.1-5%;No data;;No data;"0.94% of the  country land area is designated to Indigenous peoples and communities under Community Land Title Deeds and Allocated Community Forests, covering 0.48 Mha.<br>Source : Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf<br><br>The government recognizes nine so-called """"hill tribes"""", but other Indigenous Peoples in the north and south of the country are not recognized. Still, Thailand does not recognize the existence of indigenous peoples as such in the country. <br>Source : International Work Group for Indigenous Affairs and Mikkelsen, C., 2015. The Indigenous World, 2015. Copenhagen, Denmark: International Work Group for Indigenous Affairs. Available at : http://www.iwgia.org/iwgia_files_publications_files/0716_THE_INDIGENOUS_ORLD_2015_eb.pdf";2017;
TGO;Africa;Western Africa;Togo;5704167.0;0.83;(Liz Alden Wily, 2015);80.1-100%;0;(Liz Alden Wily, 2015);0;0.83;(Liz Alden Wily, 2015);80.1-100%;The Ordonnance No. 12 du 6 fÃ©vrier 1974 RÃ©forme Agro-FonciÃ¨re is believed to still be in force, as is Ordonnance No. 78-18 portant crÃ©ation et mise en valeur des zones dâ€™amÃ©nagement agricole planifiÃ© of 1978.<br>These laws produce ambivalent status for community-derived rights. No. 12 of 1974 guarantees the ownership of individuals and communities based upon registered title and adds â€˜The State also guarantees the ownership rights of any person or community who can claim to exercise customary rights over the land they useâ€™ (Art. 2). This has been interpreted in opposite ways, as meaning no title is required for security, or that title is still required but that customary use can be a basis of such entitlement.<br>There is no provision for off-farm lands to be secured. This has induced conflict since the 1970s in reference to rights to forests and especially to rangelands in the north. The law is clear that both assets are state property.<br>The strength of the Togo land law is that it was one of the first in Africa to allow collective rights to be registered (such as for family farms) but with above constraints. The area of rural Togo subject to formal title is estimated here as 5%.;2017;
TKL;Oceania;Polynesia;Tokelau (New Zealand);1573.22;0.98;(Fabrice Dubertret, based on AusAID, 2008);80.1-100%;98.0;(Australian Agency for International Development, 2008);80.1-100%;0;(Fabrice Dubertret, based on AusAID, 2008);0;The Crown formally recognizes and protects rights of traditional landowners through legislation. The Tokelau Amendment Act of 1967 prohibits alienation and disposition of Tokelauans' land, except to the Crown or among themselves and in accordance with custom. Customary lands cover 98% of the country land area, the rest being equally shared between public land and freehold lands (1% each).<br>Source : Australian Agency for International Development, 2008, Making Land Work. Canberra, A.C.T.: AusAID. Available at : http://www2.kobe-u.ac.jp/~alexroni/TR2014%20readings/2014_7/MakingLandWork_VolumeOne_Bookmarked.pdf<br><br>As customary tenure is extensively protected in the constitution or by law, we may consider that all customary lands are formally recognized in the country.;2017;
TON;Oceania;Polynesia;Tonga;73992.49;No data;;No data;;;No data;No data;;No data;The Constitution of 1875 transferred all the ownership of the land in the country to the King Tupou I, whose dynasty is still ruling Tonga. This marked the end of traditional land tenure systems. Thus, there is no more customary land in the country, all of its land mass being public land..<br>Source : Australian Agency for International Development, 2008, Making Land Work. Canberra, A.C.T.: AusAID. Available at : http://www2.kobe-u.ac.jp/~alexroni/TR2014%20readings/2014_7/MakingLandWork_VolumeOne_Bookmarked.pdf;2017;
TTO;Americas;Caribbean;Trinidad and Tobago;517261.251;No data;;No data;;;No data;No data;;No data;No data could be found in the literature regarding the area of indigenous and community lands in the country. <br>However, While Trinidad and Tobago has no specific legislation on indigenous peoplesâ€™ rights, they are estimated to number 12Â 000 to 400Â 000 people nationwide..<br>Source :<br>International Work Group for Indigenous Affairs and Sille Stidsen, 2007. The Indigenous World 2007. Copenhagen: International Work Group for Indigenous Affairs. Available at : http://www.iwgia.org/iwgia_files_publications_files/0083_NY-THE_INDIGENOUS_ORLD-2007.pdf;2017;
TUN;Africa;Northern Africa;Tunisia;15348741.1;0.93;(Liz Alden Wily, 2015);80.1-100%;19.6;(Liz Alden Wily, 2015);5.1-20%;73.5%;(Liz Alden Wily, 2015);60.1-80%;The estimate of community lands is derived from exclusion of TPA, urban areas,  rural titled private lands and public service land in rural areas.<br>The official figure for Terres Collectives is used as the area legally recognized as community property, referring to traditional lands as in recent decades comprising 3 million ha but of which nearly two million ha are reported to have been privatized, leaving 1.1 million ha under community jurisdiction of traditional councils.<br>Source: Abdallah Ben Saad and others, March 2010. La privatisation des terres collectives dans les regions arides tunisiennes: constraints socio-economiques et impact sure lâ€™environnement, AFD, Comite Technique 'foncier et Developpement'.;2017;
TUR;Asia;Western Asia;Turkey;76794735.0;No data;;No data;;;No data;No data;;No data;;2017;
TKM;Asia;Central Asia;Turkmenistan;46430833.2;No data;;No data;64.5;(RRI, 2015);60.1-80%;No data;;No data;30.29 Mha are Pasture used by Members and Residents of Peasants Associations. Thus,  64.46Â % of the  country land area is designated to Indigenous peoples and communities.<br>Source : Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf;2017;
TCA;Americas;Caribbean;Turks and Caicos Islands (UK);93490.95;No data;;No data;;;No data;No data;;No data;;2017;
TUV;Oceania;Polynesia;Tuvalu;4155.3118;0.95;(Fabrice Dubertret, based on AusAID, 2008);80.1-100%;95.0;(Australian Agency for International Development, 2008);80.1-100%;0;(Fabrice Dubertret, based on AusAID, 2008);0;The Crown formally recognizes and protects rights of traditional landowners through legislation. Customary lands account for 95% of the country land area, the rest being mostly public land (5%) with less than 0.1% freehold lands.<br>Source : Australian Agency for International Development, 2008, Making Land Work. Canberra, A.C.T.: AusAID. Available at : http://www2.kobe-u.ac.jp/~alexroni/TR2014%20readings/2014_7/MakingLandWork_VolumeOne_Bookmarked.pdf<br><br>As customary tenure is extensively protected in the constitution or by law, we may consider that all customary lands are formally recognized in the country.;2017;
UGA;Africa;Eastern Africa;Uganda;20578023.64;68.7%;(Liz Alden Wily, 2015);60.1-80%;68.7;(Liz Alden Wily, 2015);60.1-80%;0;(Liz Alden Wily, 2015);0;Despite the prominence of community lands (lands under customary tenure), official estimates vary between 70-80% of the country area. The lower figure is used here with adjustment for exclusion of inland water areas (69.73%). This accords roughly with identification of community lands by excluding TPA, urban areas, an estimated area of privately titled rural lands at 15% (freehold, leasehold, and inclusive of titles under the hybrid statutory-customary mailo regime) and subtraction of 1% of country area to cover rural public service lands: 68.73%.<br>No official figures on titled lands are forthcoming from the registry. An adjustment of the total TPA area to exclude 2.4% of protected areas recorded by WPDA 2013 as under community jurisdiction or in communal lands is made.<br>Ugandan constitutional and land law accords customary rights inclusive of rights to off-farm commons equitable legal force and effect with rights under freehold, leasehold and mailo tenure, and irrespective of whether these are formalized in registered certificates of customary ownership or not. Communities may also establish freehold rights as registered Communal Land Associations but none yet registered for lack of needed changes in the registration regime.<br>Refer elsewhere on site for review of laws against indicators (Liz Alden Wily).;2017;
UKR;Europe;Eastern Europe;Ukraine;58499888.47;No data;;No data;0.02;(World Bank, 2014);0.1-5%;No data;;No data;"The 2014 World Bank Land Governance Assessment Framework synthesis for the country states that 0.02% of Ukraine land area is communal land, the rest being private land (51%) and public lands (49%).<br><br>Source :USAID and World Bank, 2014. "" Issues and Options for Improved Land Sector Governance in Ukraine"". URL : http://siteresources.worldbank.org/INTLGA/Resources/Ukraine_Synthesis_Report.pdf";2017;
ARE;Asia;Western Asia;United Arab Emirates;7942326.09;No data;;No data;;;No data;No data;;No data;;2017;
GBR1;Europe;Northern Europe;United Kingdom - England;12972000.0;No data;;No data;3.3;"(Eurostat, 2010; Jones, 2015)";0.1-5%;No data;;No data;According to the Eurostats study on common lands in Europe of 2010, common lands in the UK is always permanent grassland in the form of rough grazing. Much of these lands are found in the remote upland areas, and in many instance they have at least one special designation preventing their agricultural improvement. <br>The area of these common lands across the UK are :<br>591 901 ha in Scotland<br>427 889 ha in England<br>180 305 ha in Wales<br>36 438 ha in Northern Ireland<br>Source : Eurostat, 2010. Farm structure survey - common land. Available at : http://ec.europa.eu/eurostat/statistics-explained/index.php?title=Common_land_statistics_-_background&oldid=262743<br>Jones, Gwyn. 2015. Common Grazing in Scotland - importance, governance, issues. Presentation at the EFNCP, available at : http://www.efncp.org/download/common-ground2015/Commons10Jones.pdf<br><br>There are also some lands held in in community ownership in Scotland. The latest figure of their total area is 0.19 Mha (470 094 acres). Based on a land mass of Scotland of 7.79 Mha (19.25 M acres), this would represent 2.44% of Scotland’s land mass. This figure has been calculated using the definition of Community Ownership that was agreed by the Scottish Government Short Life Working Group on community land ownership (I million acre target group) in September 2015. <br>Source: Peter Peacock, Community Land Scotland, personal communication. 2015/09/21.<br><br>The component countries of  the United Kingdom have been treated separately on LandMark.;2017;
GBR2;Europe;Northern Europe;United Kingdom - Northern Ireland;1412100.0;No data;;No data;2.6;"(Eurostat, 2010; Jones, 2015)";0.1-5%;No data;;No data;According to the Eurostats study on common lands in Europe of 2010, common lands in the UK is always permanent grassland in the form of rough grazing. Much of these lands are found in the remote upland areas, and in many instance they have at least one special designation preventing their agricultural improvement. <br>The area of these common lands across the UK are :<br>591 901 ha in Scotland<br>427 889 ha in England<br>180 305 ha in Wales<br>36 438 ha in Northern Ireland<br>Source : Eurostat, 2010. Farm structure survey - common land. Available at : http://ec.europa.eu/eurostat/statistics-explained/index.php?title=Common_land_statistics_-_background&oldid=262743<br>Jones, Gwyn. 2015. Common Grazing in Scotland - importance, governance, issues. Presentation at the EFNCP, available at : http://www.efncp.org/download/common-ground2015/Commons10Jones.pdf<br><br>There are also some lands held in in community ownership in Scotland. The latest figure of their total area is 0.19 Mha (470 094 acres). Based on a land mass of Scotland of 7.79 Mha (19.25 M acres), this would represent 2.44% of Scotland’s land mass. This figure has been calculated using the definition of Community Ownership that was agreed by the Scottish Government Short Life Working Group on community land ownership (I million acre target group) in September 2015. <br>Source: Peter Peacock, Community Land Scotland, personal communication. 2015/09/21.<br><br>The component countries of  the United Kingdom have been treated separately on LandMark.;2017;
GBR3;Europe;Northern Europe;United Kingdom - Scotland;7710000.0;No data;;No data;10.0;"(Eurostat, 2010; Jones, 2015; Peter Peacock, Community Land Scotland, 2015 - pers. com.)";5.1-20%;No data;;No data;According to the Eurostats study on common lands in Europe of 2010, common lands in the UK is always permanent grassland in the form of rough grazing. Much of these lands are found in the remote upland areas, and in many instance they have at least one special designation preventing their agricultural improvement. <br>The area of these common lands across the UK are :<br>591 901 ha in Scotland<br>427 889 ha in England<br>180 305 ha in Wales<br>36 438 ha in Northern Ireland<br>Source : Eurostat, 2010. Farm structure survey - common land. Available at : http://ec.europa.eu/eurostat/statistics-explained/index.php?title=Common_land_statistics_-_background&oldid=262743<br>Jones, Gwyn. 2015. Common Grazing in Scotland - importance, governance, issues. Presentation at the EFNCP, available at : http://www.efncp.org/download/common-ground2015/Commons10Jones.pdf<br><br>There are also some lands held in in community ownership in Scotland. The latest figure of their total area is 0.19 Mha (470 094 acres). Based on a land mass of Scotland of 7.79 Mha (19.25 M acres), this would represent 2.44% of Scotland’s land mass. This figure has been calculated using the definition of Community Ownership that was agreed by the Scottish Government Short Life Working Group on community land ownership (I million acre target group) in September 2015. <br>Source: Peter Peacock, Community Land Scotland, personal communication. 2015/09/21.<br><br>The component countries of  the United Kingdom have been treated separately on LandMark.;2017;
GBR4;Europe;Northern Europe;United Kingdom - Wales;2076800.0;No data;;No data;8.7;"(Eurostat, 2010; Jones, 2015)";5.1-20%;No data;;No data;According to the Eurostats study on common lands in Europe of 2010, common lands in the UK is always permanent grassland in the form of rough grazing. Much of these lands are found in the remote upland areas, and in many instance they have at least one special designation preventing their agricultural improvement. <br>The area of these common lands across the UK are :<br>591 901 ha in Scotland<br>427 889 ha in England<br>180 305 ha in Wales<br>36 438 ha in Northern Ireland<br>Source : Eurostat, 2010. Farm structure survey - common land. Available at : http://ec.europa.eu/eurostat/statistics-explained/index.php?title=Common_land_statistics_-_background&oldid=262743<br>Jones, Gwyn. 2015. Common Grazing in Scotland - importance, governance, issues. Presentation at the EFNCP, available at : http://www.efncp.org/download/common-ground2015/Commons10Jones.pdf<br><br>There are also some lands held in in community ownership in Scotland. The latest figure of their total area is 0.19 Mha (470 094 acres). Based on a land mass of Scotland of 7.79 Mha (19.25 M acres), this would represent 2.44% of Scotland’s land mass. This figure has been calculated using the definition of Community Ownership that was agreed by the Scottish Government Short Life Working Group on community land ownership (I million acre target group) in September 2015. <br>Source: Peter Peacock, Community Land Scotland, personal communication. 2015/09/21.<br><br>The component countries of  the United Kingdom have been treated separately on LandMark.;2017;
